预期输出法条：中华人民共和国婚姻法 第十七条  ,中华人民共和国合同法 第六十条第一款 第一百零七条  ,中华人民共和国民事诉讼法 第一百四十四条  ,	预测结果：中华人民共和国公司法 第四十四条第一款  ,	文本相似度0.8857043981552124
预期输出法条：中华人民共和国民法通则 第一百三十四条第一款（七）项 第一百零八条 第九十条  ,中华人民共和国民事诉讼法 第一百四十四条  ,	预测结果：中华人民共和国物权法 第四条 第三十二条 第三十四条  ,中华人民共和国合同法 第二百三十五条 第一百零七条  ,中华人民共和国民事诉讼法 第一百四十四条 第三十九条第二款 第一百四十二条  ,	文本相似度0.6940276026725769
预期输出法条：中华人民共和国合同法 第一百八十四条 第一百八十二条 第六十条  ,	预测结果：中华人民共和国物权法 第二百零三条  ,最高人民法院关于民事诉讼证据的若干规定 第五条第二款  ,中华人民共和国合同法 第二百零五条 第二百零六条 第二百零七条  ,	文本相似度0.8074391484260559
预期输出法条：中华人民共和国民法通则 第一百零八条 第八十四条 第九十条  ,	预测结果：中华人民共和国合同法 第八条  ,中华人民共和国保险法 第十四条 第十三条 第五十七条  ,	文本相似度0.9418030977249146
预期输出法条：中华人民共和国合同法 第四十四条  ,中华人民共和国民事诉讼法 第六十四条  ,	预测结果：中华人民共和国侵权责任法 第三十五条 第十六条 第二十六条  ,最高人民法院关于审理人身损害赔偿案件适用法律若干问题的解释 第二十三条 第十九条 第二十二条 第十七条 第二十条 第二十五条  ,中华人民共和国民事诉讼法 第一百四十四条  ,	文本相似度0.32550060749053955
预期输出法条：最高人民法院关于适用〈中华人民共和国合同法〉若干问题的解释（二） 第二十九条  ,中华人民共和国合同法 第四十四条 第一百一十四条 第一百零七条  ,中华人民共和国民事诉讼法 第一百四十四条 第六十四条第一款  ,	预测结果：中华人民共和国侵权责任法 第四十八条 第十九条 第十五条第一款第六项 第二十六条 第六条  ,中华人民共和国道路交通安全法 第七十六条  ,中华人民共和国保险法 第六十五条  ,中华人民共和国民事诉讼法 第一百三十条  ,	文本相似度0.8928455710411072
预期输出法条：最高人民法院关于审理道路交通事故损害赔偿案件适用法律若干问题的解释 第十六条  ,中华人民共和国侵权责任法 第十六条 第二十二条  ,	预测结果：中华人民共和国民法通则 第一百零八条  ,中华人民共和国合同法 第六十条 第一百零七条  ,中华人民共和国民事诉讼法 第一百四十四条  ,	文本相似度0.7842549085617065
预期输出法条：中华人民共和国婚姻法 第三十二条第二款  ,	预测结果：中华人民共和国合同法 第二百六十三条  ,中华人民共和国民事诉讼法 第一百四十四条  ,	文本相似度0.8778797388076782
预期输出法条：中华人民共和国民事诉讼法 第一百四十五条  ,	预测结果：中华人民共和国合同法 第一百五十九条 第二百二十二条 第二百二十六条  ,	文本相似度0.17257647216320038
预期输出法条：中华人民共和国婚姻法 第三十二条  ,中华人民共和国民事诉讼法 第一百四十四条  ,	预测结果：中华人民共和国婚姻法 第三十二条第二款  ,最高人民法院关于民事诉讼证据的若干规定 第二条第二款  ,	文本相似度0.8323537707328796
预期输出法条：中华人民共和国民事诉讼法 第一百七十一条 第一百七十条第一款第（二）项 第一百六十九条 第一百七十五条  ,	预测结果：中华人民共和国侵权责任法 第十六条 第三十二条第一款  ,	文本相似度0.6510930061340332
预期输出法条：中华人民共和国合同法 第二百零六条 第二百零七条 第一百九十六条  ,	预测结果：中华人民共和国合同法 第二百零五条 第二百零六条 第二百零七条 第六十条第一款  ,中华人民共和国担保法 第十八条 第三十三条  ,中华人民共和国民事诉讼法 第一百五十二条 第六十四条  ,	文本相似度0.9425951838493347
预期输出法条：中华人民共和国婚姻法 第三十二条第二款  ,中华人民共和国民事诉讼法 第一百四十四条  ,	预测结果：最高人民法院关于民事诉讼证据的若干规定 第二条  ,中华人民共和国合同法 第五十二条第（五）项 第五十八条  ,最高人民法院关于审理建设工程施工合同纠纷案件适用法律问题的解释 第一条第（一）项 第二条  ,中华人民共和国民事诉讼法 第一百四十四条  ,	文本相似度0.7014702558517456
预期输出法条：最高人民法院关于民事诉讼证据的若干规定 第二条  ,中华人民共和国合同法 第八条 第一百零七条  ,中华人民共和国民事诉讼法 第六十四条  ,	预测结果：中华人民共和国合同法 第二百零五条 第二百零六条  ,	文本相似度0.7582382559776306
预期输出法条：最高人民法院关于适用﹤中华人民共和国婚姻法﹥若干问题的解释（二） 第二十四条  ,中华人民共和国合同法 第二百零六条 第二百零七条  ,中华人民共和国民事诉讼法 第一百四十四条  ,	预测结果：山东省人口与计划生育条例 第三十一条  ,中华人民共和国仲裁法 第五十八条  ,	文本相似度0.9383809566497803
预期输出法条：中华人民共和国民法通则 第一百零八条 第九十条  ,	预测结果：中华人民共和国婚姻法 第二十四条  ,中华人民共和国合同法 第二百零六条 第二百零七条  ,中华人民共和国担保法 第十九条 第二十一条  ,中华人民共和国民事诉讼法 第一百四十四条  ,	文本相似度0.875047504901886
预期输出法条：最高人民法院关于审理道路交通事故损害赔偿案件适用法律若干问题的解释 第十九条  ,中华人民共和国侵权责任法 第十六条 第六条  ,中华人民共和国道路交通安全法 第七十六条  ,最高人民法院关于审理人身损害赔偿案件适用法律若干问题的解释 第二十三条 第十九条 第十七条  ,	预测结果：中华人民共和国婚姻法 第十条第（四）项  ,	文本相似度0.9173044562339783
预期输出法条：中华人民共和国合同法 第二百零六条 第二百零七条  ,中华人民共和国担保法 第十四条 第十八条  ,中华人民共和国民事诉讼法 第一百四十四条 第六十四条  ,	预测结果：中华人民共和国侵权责任法 第22条 第48条 第16条 第6条1款  ,辽宁省2014年度道路交通事故损害赔偿标准有关数据 第判决如下：条  ,中华人民共和国道路交通安全法 第76条  ,机动车交通事故责任强制保险条款 第8条  ,中华人民共和国保险法 第65条  ,	文本相似度0.9176456332206726
预期输出法条：中华人民共和国民法通则 第一百零八条  ,中华人民共和国合同法 第二百一十一条 第二百零六条  ,最高人民法院关于人民法院审理借贷案件的若干意见 第9条  ,	预测结果：中华人民共和国侵权责任法 第十六条 第十五条 第二十六条  ,	文本相似度0.6805986762046814
预期输出法条：中华人民共和国婚姻法 第三十二条  ,中华人民共和国民事诉讼法 第六十四条第一款  ,	预测结果：最高人民法院关于适用﹤中华人民共和国民事诉讼法﹥ 第二百零八条第三款  ,中华人民共和国民事诉讼法 第一百一十九条第一款（一）项  ,	文本相似度0.4408246874809265
预期输出法条：中华人民共和国民法通则 第八十四条 第九十条  ,	预测结果：中华人民共和国合同法 第一百一十四条 第六十条第一款 第一百零七条  ,中华人民共和国担保法 第十八条 第三十一条  ,中华人民共和国民事诉讼法 第一百四十四条 第六十四条第一款  ,	文本相似度0.8407813310623169
预期输出法条：最高人民法院关于适用〈中华人民共和国婚姻法〉若干问题的解释（二） 第二十四条  ,中华人民共和国合同法 第二百零六条  ,中华人民共和国民事诉讼法 第一百四十四条 第六十四条第一款  ,	预测结果：最高人民法院关于民事诉讼证据的若干规定 第二条  ,中华人民共和国合同法 第八条 第六十条  ,	文本相似度0.9308556914329529
预期输出法条：中华人民共和国婚姻法 第十八条第一项 第三条第一款  ,最高人民法院关于适用〈中华人民共和国婚姻法〉若干问题的解释（二） 第十条第一款第（一）项  ,中华人民共和国民事诉讼法 第六十四条第一款  ,	预测结果：中华人民共和国合同法 第一百零九条 第六十二条第四项 第一百五十九条 第一百六十一条 第一百零七条 第一百一十三条  ,	文本相似度0.669417142868042
预期输出法条：中华人民共和国合同法 第八条 第一百零七条  ,物业管理条例 第七条  ,	预测结果：中华人民共和国合同法 第二百零六条 第六十条第一款  ,中华人民共和国民事诉讼法 第一百三十四条  ,	文本相似度0.9527463912963867
预期输出法条：中华人民共和国物权法 第二百零三条  ,最高人民法院关于民事诉讼证据的若干规定 第五条第二款  ,中华人民共和国合同法 第二百零五条 第二百零六条 第二百零七条  ,	预测结果：最高人民法院关于审理买卖合同纠纷案件适应法律问题的解释 第二十四条  ,最高人民法院关于适用〈中华人民共和国合同法〉若干问题的解释 第二十一条  ,中华人民共和国合同法 第一百五十九条 第一百六十一条  ,中华人民共和国民事诉讼法 第一百四十四条  ,	文本相似度0.9742675423622131
预期输出法条：中华人民共和国民法通则 第一百二十条第一款 第一百零一条  ,	预测结果：最高人民法院关于审理道路交通事故损害赔偿案件适用法律若干问题的解释 第十六条  ,中华人民共和国侵权责任法 第十六条  ,中华人民共和国道路交通安全法 第七十六条  ,中华人民共和国民事诉讼法 第一百四十四条  ,	文本相似度0.7886526584625244
预期输出法条：最高人民法院关于审理道路交通事故损害赔偿案件适用法律若干问题的解释 第二条  ,中华人民共和国侵权责任法 第十六条 第十九条 第四十九条 第三十二条  ,中华人民共和国道路交通安全法 第七十六条第一款  ,中华人民共和国民法通则 第一百十九条 第一百三十三条  ,最高人民法院关于审理人身损害赔偿案件适用法律若干问题的解释 第二十三条 第十九条 第二十二条 第十七条 第二十一条 第二十条  ,中华人民共和国民事诉讼法 第一百四十四条  ,	预测结果：中华人民共和国合同法 第八条 第六十条第一款 第一百零七条  ,中华人民共和国民事诉讼法 第一百四十四条  ,	文本相似度0.8990000486373901
预期输出法条：中华人民共和国民法通则 第七十二条 第五条  ,中华人民共和国合同法 第五条 第二百三十二条  ,	预测结果：中华人民共和国民法通则 第一百零八条  ,中华人民共和国合同法 第一百六十一条 第一百零七条  ,中华人民共和国民事诉讼法 第一百四十四条  ,	文本相似度0.9182002544403076
预期输出法条：最高人民法院﹤关于人民法院审理借贷案件的若干意见﹥ 第九条  ,中华人民共和国合同法 第七十九条 第二百零六条 第八十条 第二百零七条  ,中华人民共和国民事诉讼法 第一百四十四条  ,	预测结果：关于人民法院审理借贷案件的若干意见 第六条  ,中华人民共和国合同法 第二百零五条 第二百零六条 第一百零七条  ,中华人民共和国民事诉讼法 第一百四十四条  ,	文本相似度0.9522483348846436
预期输出法条：中华人民共和国侵权责任法 第四十八条 第十六条 第六条  ,中华人民共和国道路交通安全法 第七十六条  ,最高人民法院关于审理人身损害赔偿案件适用法律若干问题的解释 第十七条第一款  ,中华人民共和国民事诉讼法 第六十四条第一款 第一百四十二条  ,	预测结果：最高人民法院关于民事诉讼证据的若干规定 第七条 第二条第二款  ,中华人民共和国民法通则 第一百三十五条  ,最高人民法院关于适用〈中华人民共和国民事诉讼法〉若干问题的意见 第153条  ,中华人民共和国民事诉讼法 第一百四十二条  ,	文本相似度0.8110341429710388
预期输出法条：最高人民法院关于民事诉讼证据的若干规定 第二条  ,中华人民共和国民事诉讼法 第六十四条  ,	预测结果：关于人民法院审理借贷案件的若干意见 第六条  ,中华人民共和国合同法 第二百零六条  ,中华人民共和国担保法 第十八条  ,中华人民共和国民事诉讼法 第一百四十四条  ,	文本相似度0.8093647956848145
预期输出法条：中华人民共和国合同法 第四十四条 第六十条 第一百零七条  ,	预测结果：中华人民共和国婚姻法 第三十七条 第三十二条 第三十八条  ,	文本相似度0.577585756778717
预期输出法条：中华人民共和国侵权责任法 第十九条 第六条  ,中华人民共和国物权法 第三十七条  ,中华人民共和国民事诉讼法 第六十四条  ,	预测结果：中华人民共和国侵权责任法 第十六条 第二十二条 第四十九条 第六条  ,最高人民法院关于确定民事侵权精神损害赔偿责任若干问题的解释 第十条 第八条第二款  ,中华人民共和国道路交通安全法 第七十六条  ,最高人民法院关于审理人身损害赔偿案件适用法律若干问题的解释 第十八条 第三十五条 第二十二条 第二十八条 第十七条 第二十条 第二十五条  ,中华人民共和国民事诉讼法 第一百四十四条 第六十四条第一款  ,	文本相似度0.9118196964263916
预期输出法条：中华人民共和国婚姻法 第三十二条  ,中华人民共和国民事诉讼法 第六十四条  ,	预测结果：最高人民法院关于审理道路交通事故损害赔偿案件适用法律若干问题的解释 第十八条第一款  ,机动车交通事故责任强制保险条例 第二十一条  ,最高人民法院关于审理人身损害赔偿案件适用法律若干问题的解释 第十七条第一款、第二款  ,	文本相似度0.9013152718544006
预期输出法条：中华人民共和国合同法 第二百零七条 第一百九十六条  ,	预测结果：最高人民法院关于审理道路交通事故损害赔偿案件适用法律若干问题的解释 第十四条 第十六条  ,中华人民共和国侵权责任法 第四十八条 第十九条 第三十四条 第六条第一款  ,中华人民共和国道路交通安全法 第七十六条第一款第（一）项  ,中华人民共和国民事诉讼法 第一百四十四条  ,	文本相似度0.9123205542564392
预期输出法条：中华人民共和国劳动合同法 第三条  ,中华人民共和国民事诉讼法 第一百一十九条  ,	预测结果：中华人民共和国婚姻法 第三十七条  ,最高人民法院关于适用﹤中华人民共和国婚姻法﹥若干问题的解释（一） 第二十一条  ,最高人民法院关于人民法院审理离婚案件处理子女抚养问题的若干具体意见 第11条 第15条 第7条 第18条  ,	文本相似度0.9541125297546387
预期输出法条：山东省人口与计划生育条例 第三十一条  ,中华人民共和国仲裁法 第五十八条  ,	预测结果：最高人民法院关于审理道路交通事故损害赔偿案件适用法律若干问题的解释 第十六条  ,中华人民共和国侵权责任法 第四十八条 第十六条 第二十二条 第六条  ,中华人民共和国道路交通安全法 第七十六条第一款（一）项  ,最高人民法院关于审理人身损害赔偿案件适用法律若干问题的解释 第二十八条 第二十一条 第二十条 第二十五条  ,中华人民共和国民事诉讼法 第一百四十二条  ,	文本相似度0.8847728967666626
预期输出法条：中华人民共和国合同法 第六十条 第一百零七条  ,最高人民法院关于审理物业服务纠纷案件具体应用法律若干问题的解释 第一条  ,物业管理条例 第四十二条第一款  ,中华人民共和国民事诉讼法 第五十一条 第一百六十二条 第六十四条第一款 第一百四十二条  ,	预测结果：中华人民共和国民法通则 第九十二条  ,	文本相似度0.8454248309135437
预期输出法条：关于人民法院审理借贷案件的若干意见 第六条  ,中华人民共和国合同法 第二百零五条 第二百零六条  ,中华人民共和国民事诉讼法 第一百四十四条  ,	预测结果：中华人民共和国保险法 第二十三条 第六十四条  ,	文本相似度0.7641951441764832
预期输出法条：中华人民共和国民法通则 第一百零八条 第九十条  ,中华人民共和国民事诉讼法 第一百四十四条  ,	预测结果：中华人民共和国合同法 第一百一十四条第一款 第六十条  ,中华人民共和国民事诉讼法 第一百四十四条 第六十四条  ,	文本相似度0.787977933883667
预期输出法条：中华人民共和国合同法 第一百九十条 第一百九十二条  ,中华人民共和国民事诉讼法 第一百四十二条  ,	预测结果：中华人民共和国侵权责任法 第三条 第十五条第（六）项  ,最高人民法院关于民事诉讼证据的若干规定 第二条  ,	文本相似度0.9632863998413086
预期输出法条：中华人民共和国合同法 第一百五十九条 第六十条 第一百零七条  ,中华人民共和国民法通则 第二十九条  ,	预测结果：中华人民共和国侵权责任法 第四十八条 第十六条 第六条  ,中华人民共和国道路交通安全法 第七十六条  ,关于审理人身损害赔偿案件适用法律若干问题的解释 第二十三条 第十九条 第二十二条 第二十四条 第十七条 第二十一条 第二十条  ,	文本相似度0.8619397282600403
预期输出法条：中华人民共和国道路交通安全法 第七十六条  ,中华人民共和国民法通则 第一百一十九条  ,	预测结果：中华人民共和国婚姻法 第十八条 第三十七条 第三十六条 第四十一条 第三十二条  ,最高人民法院关于民事诉讼证据的若干规定 第二条  ,最高人民法院关于人民法院审理离婚案件处理子女抚养问题的若干具体意见 第一条  ,	文本相似度0.8688865900039673
预期输出法条：中华人民共和国民法通则 第八十四条  ,中华人民共和国合同法 第九十四条 第九十七条  ,中华人民共和国民事诉讼法 第一百三十四条 第一百四十四条  ,	预测结果：中华人民共和国合同法 第二百三十五条 第一百零七条  ,中华人民共和国民事诉讼法 第一百三十一条  ,	文本相似度0.9214783310890198
预期输出法条：最高人民法院关于审理借贷案件若干问题的意见  ,中华人民共和国民法通则 第一百零八条 第九十条  ,中华人民共和国担保法 第及条  ,	预测结果：关于人民法院审理借贷案件的若干意见 第六条  ,中华人民共和国民法通则 第一百零八条 第九十条  ,中华人民共和国民事诉讼法 第一百四十四条  ,	文本相似度0.8821732401847839
预期输出法条：最高人民法院关于民事诉讼证据的若干规定 第二条 第三十四条  ,	预测结果：中华人民共和国婚姻法 第十条第一款第（一）项  ,中华人民共和国民事诉讼法 第一百四十四条  ,	文本相似度0.8479337692260742
预期输出法条：中华人民共和国婚姻法 第三条第一款  ,关于适用〈中华人民共和国婚姻法〉若干问题的解释（二） 第十条第一款第三项  ,中华人民共和国民法通则 第一百三十四条第一款第四项  ,	预测结果：中华人民共和国合同法 第二百零六条 第二百零七条  ,最高人民法院关于人民法院审理借贷案件的若干意见 第九条  ,中华人民共和国民事诉讼法 第一百四十四条  ,	文本相似度0.8983765244483948
预期输出法条：中华人民共和国合同法 第八条 第六十条 第一百零七条  ,最高人民法院关于审理物业服务纠纷案件具体应用法律若干问题的解释 第一条 第六条  ,物业管理条例 第四十二条  ,中华人民共和国民事诉讼法 第一百四十四条  ,	预测结果：关于审理物业服务纠纷案件具体应用法律若干问题的解释 第六条  ,中华人民共和国合同法 第一百一十四条 第八条 第六十条  ,物业管理条例 第四十二条  ,	文本相似度0.842560887336731
预期输出法条：关于审理买卖合同纠纷案件适用法律问题的解释 第二十四条  ,中华人民共和国合同法 第一百五十九条 第一百六十一条 第一百零七条  ,中华人民共和国民事诉讼法 第一百四十四条  ,	预测结果：中华人民共和国物权法 第九条  ,中华人民共和国民事诉讼法 第六十四条  ,	文本相似度0.9399765133857727
预期输出法条：中华人民共和国合同法 第二百零六条 第二百零七条  ,中华人民共和国民事诉讼法 第一百四十四条  ,	预测结果：中华人民共和国侵权责任法 第十六条 第二十六条 第六条第一款  ,最高人民法院关于审理人身损害赔偿案件适用法律若干问题的解释 第二十三条 第十九条 第二十二条 第二十四条 第十七条第一款 第二十一条 第二十条  ,	文本相似度0.9485966563224792
预期输出法条：中华人民共和国侵权责任法 第十六条 第六条  ,最高人民法院关于确定民事侵权精神损害赔偿责任若干问题的解释 第十条 第八条第二款  ,最高人民法院关于审理人身损害赔偿案件适用法律若干问题的解释 第十九条 第二十四条 第二十一条 第二十条  ,	预测结果：中华人民共和国婚姻法 第三十二条  ,中华人民共和国民事诉讼法  ,	文本相似度0.9501824378967285
预期输出法条：中华人民共和国物权法 第七十条 第八十四条 第七十一条 第八十三条  ,最高人民法院关于审理建筑物区分所有权纠纷案件具体应用法律若干问题的解释 第十四条 第十五条  ,	预测结果：最高人民法院关于审理道路交通事故损害赔偿案件适用法律若干问题的解释 第十六条  ,中华人民共和国侵权责任法 第四十八条 第十六条 第十九条 第二十二条 第六条第一款  ,中华人民共和国道路交通安全法 第七十六条第一款  ,最高人民法院关于审理人身损害赔偿案件适用法律若干问题的解释 第十七条 第二十五条  ,	文本相似度0.8274211287498474
预期输出法条：关于适用﹤中华人民共和国民事诉讼法﹥的解释 第二百零八条第三款  ,关于办理非法集资刑事案件适用法律若干问题的意见 第七条  ,中华人民共和国民事诉讼法 第一百一十九条  ,	预测结果：中华人民共和国合同法 第一百零九条 第四十四条 第六十条 第一百零七条  ,中华人民共和国民事诉讼法 第九条  ,	文本相似度0.41239985823631287
预期输出法条：中华人民共和国民法通则 第一百三十四条第一款第（七）项 第八十四条  ,中华人民共和国担保法 第二十条  ,最高人民法院关于人民法院审理借贷案件的若干意见 第六条  ,中华人民共和国民事诉讼法 第一百四十四条 第六十四条  ,	预测结果：最高人民法院关于适用〈中华人民共和国民事诉讼法〉若干问题的意见 第139条第一款 第一款“起诉不符合受理条  ,	文本相似度0.891431450843811
预期输出法条：中华人民共和国婚姻法 第四十一条  ,	预测结果：中华人民共和国合同法 第一百零九条 第一百零七条  ,	文本相似度0.9503297209739685
预期输出法条：殡葬管理条例 第十条  ,中华人民共和国共和国合同法 第五十二条 第五十八条  ,中华人民共和国土地管理法 第三十六条  ,	预测结果：中华人民共和国劳动合同法 第十条 第三十条 第四十六条 第八十二条 第三十八条  ,北京市工资支付规定 第九条  ,	文本相似度0.7372868657112122
预期输出法条：中华人民共和国婚姻法 第三十二条  ,	预测结果：	文本相似度0.9466877579689026
预期输出法条：中华人民共和国侵权责任法 第十五条第六项  ,	预测结果：	文本相似度0.3775578439235687
预期输出法条：中华人民共和国合同法 第一百零九条  ,中华人民共和国民事诉讼法 第一百四十四条  ,	预测结果：	文本相似度0.864554226398468
预期输出法条：中华人民共和国合同法 第八条 第六十条  ,物业管理条例 第四十二条  ,中华人民共和国民事诉讼法 第一百六十二条 第一百四十二条  ,	预测结果：	文本相似度0.6685587167739868
预期输出法条：中华人民共和国劳动合同法 第七条  ,中华人民共和国民事诉讼法 第一百五十二条 第一百四十二条  ,	预测结果：	文本相似度0.5928925275802612
预期输出法条：关于人民法院审理借贷案件的若干意见 第九条  ,中华人民共和国合同法 第四十四条第一款 第二百一十一条 第二百零六条  ,关于民事诉讼证据的若干规定 第二条  ,中华人民共和国担保法 第十九条 第三十一条 第二十一条  ,中华人民共和国民事诉讼法 第一百四十四条 第六十四条第一款  ,	预测结果：	文本相似度0.6646347641944885
预期输出法条：中华人民共和国侵权责任法 第十六条 第六条第一款  ,中华人民共和国道路交通安全法 第七十六条  ,关于审理人身损害赔偿案件适用法律若干问题的解释 第二十三条 第二十二条 第二十一条 第二十条 第二十五条  ,	预测结果：	文本相似度0.45377787947654724
预期输出法条：中华人民共和国合同法 第一百五十九条 第一百六十一条  ,中华人民共和国民事诉讼法 第一百四十四条 第六十四条  ,	预测结果：	文本相似度0.7790830135345459
预期输出法条：中华人民共和国婚姻法 第三十二条  ,中华人民共和国民事诉讼法 第一百四十四条  ,	预测结果：	文本相似度0.6344264149665833
预期输出法条：中华人民共和国道路交通安全法 第七十六条  ,中华人民共和国民法通则 第九十八条 第一百一十九条  ,中华人民共和国民事诉讼法 第六十四条第一款  ,	预测结果：	文本相似度0.2837095558643341
预期输出法条：中华人民共和国侵权责任法 第十六条  ,最高人民法院关于确定民事侵权精神损害赔偿责任若干问题的解释 第八条  ,中华人民共和国民事诉讼法 第十三条  ,	预测结果：	文本相似度0.5264975428581238
预期输出法条：中华人民共和国劳动法 第五十条  ,中华人民共和国劳动合同法 第三十条  ,中华人民共和国民事诉讼法 第六十四条第一款  ,	预测结果：	文本相似度0.6379969120025635
预期输出法条：关于人民法院审理借贷案件的若干意见 第九条  ,中华人民共和国民法通则 第一百零八条 第八十四条 第九十条  ,关于贯彻执行〈中华人民共和国民法通则〉若干问题的意见（试行） 第121条 第123条  ,关于贯彻执行﹤中华人民共和国民法通则﹥若干问题的意见（试行） 第121条 第123条  ,中华人民共和国民事诉讼法 第一百四十四条  ,	预测结果：	文本相似度0.948339581489563
预期输出法条：中华人民共和国民事诉讼法 第六十四条  ,	预测结果：	文本相似度0.5867125988006592
预期输出法条：中华人民共和国民法通则 第一百零八条 第九十条  ,	预测结果：	文本相似度0.616973340511322
预期输出法条：中华人民共和国婚姻法 第十五条  ,	预测结果：	文本相似度0.6743865609169006
